"Organization name",Phone,Email,Website,Address,"Address city","Address state","Address country",Label,"Liczba ofert OLX","Ostatnia oferta OLX","Pierwsza oferta OLX","OLX ID","Przykladowa oferta URL","Stanowiska (probka)"
Saint-Gobain,"","","","",Gliwice,"Śląskie",Polska,"Elektryka / Automatyka / UR",14,2026-04-21,2024-12-18,46023343,https://www.olx.pl/oferta/praca/pracownik-produkcyjny-pracowniczka-produkcyjna-sekurit-transport-zary-CID4-ID18XdcH.html,"Operator/Operatorka linii produkcyjnej Isover Gliw,PRACA Operator/Operatorka Linii Produkcyjnej / Rig,Młodszy Operator/Młodsza Operatorka Linii Prod. WS,Pracownik / Pracowniczka Produkcji Glassolutions J,Elektryk Zmianowy /Elektryczka Zmianowa Gliwice Is,Młodszy Operator/Młodsza Operatorka Linii Prod. WM,Operator/Operatorka linii produkcyjnej GLIWICE Eco,Praca Młodszy operator/Młodsza operatorka/Młodszy ,Praca Młodszy operator/Młodsza operatorka Ecophon ,Automatyk zmianowy/Automatyczka zmianowa Isover Gl,Elektroautomatyk zmianowy /Elektroautomatyczka zmi,Młodszy Operator / Młodsza Operatorka Surowcowni i,Lider / Liderka Procesu Saint- Gobain Enkapsulacja,Pracownik Produkcyjny/ Pracowniczka Produkcyjna Se"
"PF Logo Express","","","","","Poznań",Wielkopolskie,Polska,"Kontrola jakości",8,2026-05-14,2020-10-29,32139983,https://www.olx.pl/oferta/praca/pracownik-produkcji-k-m-bezplatny-transport-CID4-IDH9pfV.html,"Pracownik Produkcji (k/m) + bezpłatny transport,Operator Druku Cyfrowego (K/M),Brygadzista Produkcji,Inspektor Jakości,Pracownik Produkcji + bezpłatny transport"
"Mondelez International","","","","",Nysa,Opolskie,Polska,"Produkcja ogólna",8,2026-05-13,2019-04-03,44579849,https://www.olx.pl/oferta/praca/technik-liniowy-techniczka-liniowa-slodka-praca-darmowy-dojazd-CID4-IDIsOU5.html,"Technik Liniowy/Techniczka Liniowa – darmowy dojaz,Technik Liniowy/Techniczka Liniowa – Słodka praca ,Prowadzący/Prowadząca Proces- – darmowy dojazd!,Technik Liniowy/Techniczka Liniowa – praca na prod"
Nestle,"","","","",Kalisz,Wielkopolskie,Polska,"Elektryka / Automatyka / UR",8,2026-05-04,2024-05-06,1454334320,https://www.olx.pl/oferta/praca/praktykant-praktykantka-w-dziale-produkcji-CID4-ID1au2re.html,"Pracownik Produkcji K/M (Nestle Kargowa),Praca produkcja techniczny Mechatronik (K/M) Nestl,Praktykant/Praktykantka w Dziale Produkcji,Praca produkcja  Mechanik Warsztatowy ( K/M) Nestl,Praca produkcja  Technik Energetyk ( K/M) Nestle K,Praca utrzymania ruchu  Mistrz Warsztatu Elektrycz,Praca produkcja Technik Elektryk ( K/M) Nestle Kal,Praca utrzymania ruchu produkcja  Mistrz Warsztatu"
"CPF Culinar","","","","","Żeromin",Wielkopolskie,Polska,Magazyn,7,2026-05-21,2026-04-10,2551430955,https://www.olx.pl/oferta/praca/praca-specjalista-specjalistka-ds-produkcji-zeromin-podstawa-premia-CID4-ID1aKjDb.html,"PRACA - Specjalista/Specjalistka ds. Produkcji - Ż,PRACA - Operator - Technik maszyn K/M - umowa o pr,PRACA - Operator Maszyn (k/m) - Produkcja - Łódź -,PRACA - Kontroler Jakości (k/m) - Produkcja - Bez ,PRACA - Kontroler Jakości  (k/m) - Karczew - bez d,PRACA - Brygadzista (k/m) - Magazyn Opakowań - Pro"
"Grupa Maspex Sp. z o.o.","","","","","Łowicz","Łódzkie",Polska,"Produkcja ogólna",7,2026-05-21,2026-04-30,38734145,https://www.olx.pl/oferta/praca/technik-utrzymania-ruchu-k-m-CID4-ID1aHyqG.html,"Operator banderolowania (k/m),Specjalista ds. Jakości Procesów Produkcyjnych (k/,Młodszy kontroler przyjęcia dostaw (k/m),Specjalista ds. ciągłego doskonalenia (k/m),Pracownik Produkcji (k/m),Technik utrzymania ruchu (k/m)"
"Grupa Veolia w Polsce","","","","","Żerniki",Wielkopolskie,Polska,"Produkcja ogólna",7,2026-05-07,2026-03-06,31943857,https://www.olx.pl/oferta/praca/technik-techniczka-utrzymania-obiektu-CID4-ID1ax3YW.html,"Technik / Techniczka Utrzymania Obiektu,Technik/Techniczka obsługi kotłowni przemysłowej,Specjalista/ Specjalistka ds. wsparcia techniczneg"
"Model Opakowania Sp. z.o.o","","","","","Czosnów",Mazowieckie,Polska,"Elektryka / Automatyka / UR",6,2026-05-21,2025-01-31,35293599,https://www.olx.pl/oferta/praca/praca-na-wakacje-wsparcie-obszaru-produkcyjnego-CID4-ID1aKleq.html,"Praca na wakacje- wsparcie obszaru produkcyjnego,Pomocnik operatora maszyn/ operator maszyn (K/M),Operator maszyn/ Pomocnik operatora maszyn,Operator maszyny drukującej,Elektromechanik-Utrzymanie Ruchu (K/M)"
"Rockfin S.A","","","","","Małkowo",Pomorskie,Polska,"Przemysł metalowy / obróbka",5,2026-05-22,2026-04-30,540557026,https://www.olx.pl/oferta/praca/spawacz-tig-k-m-CID4-ID1aLRAe.html,"Monter/ Monterka,Spawacz TIG (k/m),Malarz przemysłowy (k/m),Kierowniczka/Kierownik Magazynu,Kontroler Odbioru Dostaw"
"Domgos 2 Sp. z o.o.","","","","",Bytom,"Śląskie",Polska,"Przemysł metalowy / obróbka",5,2026-05-21,2026-04-22,445688670,https://www.olx.pl/oferta/praca/spawacz-monter-aluminium-bytom-k-m-CID4-ID1alSPH.html,"Brygadzista / Mistrz zmianowy - Bytom (K/M),Ślusarz - Bytom (K/M),Monter-Spawacz Bytom (K/M),Spawacz-Monter Aluminium -  Bytom (K/M),Operator prasy krawędziowej - Bytom (K/M)"
"Alstom Polska S.A.","","","","",Nadarzyn,Mazowieckie,Polska,"Elektryka / Automatyka / UR",5,2026-05-18,2026-05-15,2397197664,https://www.olx.pl/oferta/praca/technik-techniczka-serwisu-przeglady-i-serwis-wozkow-kolejowych-nadarzyn-CID4-ID1aHv2T.html,"Dyspozytor/ka materiałowy/a - ALSTOM - Katowice We,Elektromonter/Elektromonterka - ALSTOM - Katowice ,Narzędziowiec/czyni - ALSTOM - Katowice Wełnowiec,Technik / Techniczka serwisu,Technik / Techniczka Serwisu – Przeglądy i Serwis "
"Comforteo Węgłowski i Stryjakiewicz Sp. k.","","","","","Opatów",Wielkopolskie,Polska,"Kontrola jakości",5,2026-05-14,2020-08-06,33764133,https://www.olx.pl/oferta/praca/praca-comforteo-tapicer-tapicerowanie-sof-k-m-opatow-k-kepna-CID4-ID10boZt.html,"Praca Comforteo - Tapicer (tapicerowanie łóżek) (k,Praca Comforteo - Tapicer (tapicerowanie sof) (k/m,Praca Comforteo - Pracownik do cięcia pianki (k/m),Praca Comforteo - Tapicer / Konstruktor w dziale w,Praca Comforteo - Kontroler jakości (k/m) - Opatów"
"Hitachi Energy Poland Sp. z o.o.","","","","","Łódź","Łódzkie",Polska,"Produkcja ogólna",5,2026-05-13,2025-04-04,487478218,https://www.olx.pl/oferta/praca/pracownik-pracownica-produkcji-hitachi-energy-poland-sp-z-o-o-CID4-ID1717ne.html,"Operator/Operatorka - obsługa agregatu do cięcia b,Monter/Monterka - montaż części aktywnych  -  Hita,Monter/Monterka - Montaż końcowy  -  Hitachi Energ,Pracownik/Pracownica produkcji  - Hitachi Energy P,Operator/Operatorka - Śrutownia - Hitachi Energy P"
"Manuli Hydraulics Polska S.A","","","","","Mysłowice","Śląskie",Polska,"Elektryka / Automatyka / UR",5,2026-05-05,2026-05-05,670896291,https://www.olx.pl/oferta/praca/technolog-obrobki-skrawaniem-toczenie-k-m-CID4-ID1aw1ho.html,"Technolog obróbki skrawaniem- toczenie (K/M),Szlifierz narzędziowy (K/M),Koordynator zmiany (K/M),Elektronik-  Automatyk (K/M),Elektromechanik w dziale utrzymania ruchu (K/M)"
"FF Marka Własna Sp. z o.o.","","","","",Kalisz,Wielkopolskie,Polska,"Elektryka / Automatyka / UR",4,2026-05-22,2026-04-09,36017413,https://www.olx.pl/oferta/praca/operator-maszyn-produkcyjnych-mozliwosc-awansu-na-lidera-CID4-ID1a8RAT.html,"Automatyk - Utrzymanie Ruchu (produkcja),Laborantka/Laborant.,Operator maszyn produkcyjnych - możliwość awansu n,Mechanik-Ślusarz, Monter hydrauliki.  Praca na jed"
"Kronospan Szczecinek","518 285 038","","","",Szczecinek,Zachodniopomorskie,Polska,"Elektryka / Automatyka / UR",4,2026-05-21,2024-12-17,15455587,https://www.olx.pl/oferta/praca/praca-w-porcie-przeladunki-towarow-k-m-alfa-terminal-szczecin-CID4-ID13xXxw.html,"Operator urządzeń pakujących (K/M),Operator sprzętu przeładunkowego (k/m),Praca w porcie – przeładunki towarów (K/M) | Alfa ,Elektryk - praca na jedną zmianę! (K/M)"
"IQ Metal","","","","",Szczecin,Zachodniopomorskie,Polska,"Przemysł metalowy / obróbka",4,2026-05-21,2026-05-19,33143079,https://www.olx.pl/oferta/praca/technik-utrzymania-ruchu-CID4-ID1aKidB.html,"Spawacz Konstrukcji Stalowych 135, 136,Prostowacz Konstrukcji Stalowych,Monter / Monterka – Praca na produkcji,Technik Utrzymania Ruchu"
Aluplast,"","","","","Poznań",Wielkopolskie,Polska,"Elektryka / Automatyka / UR",4,2026-05-21,2024-12-19,77340637,https://www.olx.pl/oferta/praca/technolog-doradca-techniczny-ds-stolarki-aluminiowej-k-m-CID4-ID1aKoXn.html,"Elektryk (k/m) Aluplast Nagradowice Kleszczewo Bez,Technolog/ Doradca techniczny ds. stolarki alumini,Młodszy Operator w Dziale Oklejania (k/m)  Aluplas,Doradca techniczny w dziale PVC (k/m)"
"Gabi Jerczyński Sp. K.","507 971 713","","","","Kępno",Wielkopolskie,Polska,"Produkcja ogólna",4,2026-05-20,2025-12-19,64625988,https://www.olx.pl/oferta/praca/praca-na-stolarni-CID4-ID1aqh8s.html,"Operator maszyny Primultini,Brygadzista/Brygadzistka w dziale stolarni,Operator/Operatorka do rozkroju pianki,Praca na stolarni"
"ATT Sp. z o.o.","","","","","Kokotów","Małopolskie",Polska,Magazyn,4,2026-05-14,2026-05-08,1562742273,https://www.olx.pl/oferta/praca/pracownik-produkcji-k-m-CID4-ID1ay6cL.html,"Pracownik produkcji K/M,Mistrz produkcji K/M,Magazynier w dziale kompletacji zamówień,Osoba do pracy na trawialni K/M"
SERWISTAL,"","","","","Ełk","Warmińsko-mazurskie",Polska,"Produkcja ogólna",4,2026-05-06,2024-12-17,21071783,https://www.olx.pl/oferta/praca/serwistal-technolog-technolozka-CID4-ID189M97.html,"SERWISTAL - Operator/ka maszyn,SERWISTAL - Technolog/Technolożka,SERWISTAL - Operator/ka suwnic,SERWISTAL - Operator/ka prasy krawędziowej"
"Hammer Sp.z o.o.","","","","","Tarnowo Podgórne",Wielkopolskie,Polska,"Produkcja ogólna",4,2026-04-22,2026-04-21,1088598695,https://www.olx.pl/oferta/praca/pracownik-produkcji-CID4-ID1ajbgH.html,"Pracownik produkcji,Pracownik Produkcji"
Mateusz,"","","","","Śmielin",Kujawsko-pomorskie,Polska,"Produkcja ogólna",4,2026-04-21,2026-02-16,36608801,https://www.olx.pl/oferta/praca/osoba-spawajaca-mig-tig-CID4-ID19qLrc.html,"Operator/ka lasera i krawędziarki,MONTER/KA - pracownik produkcji maszyn,Osoba spawająca MIG/TIG,Konstruktor/konstruktorka"
"CERATIZIT K-K","","","","","Kędzierzyn-Koźle",Opolskie,Polska,"Przemysł metalowy / obróbka",4,2026-04-15,2025-09-24,2546991144,https://www.olx.pl/oferta/praca/technolog-programista-cam-m-k-x-w-ceratizit-dolacz-do-nas-CID4-ID18Ipvz.html,"Technolog - Programista CAM (m/k/x) w CERATIZIT- D,Pomocnik w dziale Utrzymania Ruchu (m/k/x)- dołącz,Operator CNC (m/k/x)- Wiele nowych miejsc pracy. D,Operator maszyn manualnych (m/k/x)- nowe miejsca p"
"TARCZYŃSKI.PL","","","","",Jarocin,Wielkopolskie,Polska,"Elektryka / Automatyka / UR",4,2026-03-17,2025-12-10,32399497,https://www.olx.pl/oferta/praca/stazysta-stazystka-w-dziale-zarzadzania-produkcja-w-sowach-CID4-ID18DeZD.html,"Płatny 12-miesięczny Staż w dziale mechatroniki,Płatny 12-miesięczny Staż w dziale Utrzymania Ruch,Płatny 12-miesięczny Staż w Dziale Zarządzania Pro,Stażysta/Stażystka w dziale Zarządzania Produkcją "
invenio,"","","","","Lubań","Dolnośląskie",Polska,"Kontrola jakości",4,2026-03-13,2021-12-03,24028733,https://www.olx.pl/oferta/praca/kontrola-jakosci-umowa-zlecenie-wykroty-k-m-praca-od-zaraz-CID4-ID19LQta.html,"Inspektor kontroli jakości (m/k),Inspektor kontroli jakości - umowa zlecenie (k/m),Kontrola jakości - umowa zlecenie - Wykroty (k/m),,Kontrola Jakości - umowa zlecenie - Wykroty (k/m),"
CEDROB,"","","","","Raciąż",Mazowieckie,Polska,"Elektryka / Automatyka / UR",4,2026-01-21,2022-10-20,21175013,https://www.olx.pl/oferta/praca/pracownik-produkcji-pasz-m-k-wytwornia-pasz-w-raciazu-cedrob-s-a-CID4-ID196PS8.html,"Pracownik Produkcji (K/M) - Zakład Drobiarski CEDR,Pracownik Produkcji - Dział Patroszenia ZD Kutno,Pracownik Produkcji Pasz (M/K) - Wytwórnia Pasz w ,Elektromechanik (M/K) w Wytwórni Pasz w Raciąż"
"PPUH Konstalex Sp. z o.o.","","","","",Radomsko,"Łódzkie",Polska,"Przemysł metalowy / obróbka",4,2026-01-15,2024-11-04,879107996,https://www.olx.pl/oferta/praca/spawacz-spawaczka-135-konstrukcje-stalowe-konstalexk-m-CID4-ID18p7HG.html,"Pracownik produkcji ze znajomością rysunku technic,Spawacz/ Spawaczka 135 - Konstrukcje Stalowe KONST,Monter/Monterka konstrukcji stalowych KONSTALEX(k/,Operator/Operatorka suwnicy (k/m)"
"ROLDROB S.A.","","","","","Tomaszów Mazowiecki","Łódzkie",Polska,"Elektryka / Automatyka / UR",4,2026-01-09,2021-06-29,34744641,https://www.olx.pl/oferta/praca/pracownik-pracownica-warsztatu-mechanicznego-CID4-IDKpGuL.html,"Osoba do pracy w magazynie przypraw i surowca,Pracownik/ pracownica warsztatu mechanicznego,Atrakcyjna praca Technik elektryk, Elektryk,Monter instalacji wodno -kanalizacyjnych w dziale "
"WEREMCZUK FMR Sp. z o.o.","","","","","Niedrzwica Duża",Lubelskie,Polska,"Produkcja ogólna",4,2025-01-30,2024-12-27,19607519,https://www.olx.pl/oferta/praca/spawanie-mig-mag-lub-tig-CID4-ID13EB7c.html,"Projektowanie instalacji elektrycznych do maszyn 2,Spawanie MIG-MAG lub TIG,Montaż Innowacyjnych Maszyn,Prace elektryczne i elektrotechniczne"
"Wipasz S.A.","","","","","Międzyrzec Podlaski",Lubelskie,Polska,"Kontrola jakości",4,2024-01-18,2021-08-04,781631073,https://www.olx.pl/oferta/praca/operator-linii-wipasz-s-a-k-m-CID4-IDLaLbC.html,"Kontroler jakości WIPASZ S.A. (K/M),Operator linii WIPASZ S.A. (K/M),Brygadzista Dział Produkcji WIPASZ S.A. (K/M),Mistrz Produkcji (K/M)"
"HSS WORK","","","","","Żłobnica","Łódzkie",Polska,"Produkcja ogólna",3,2026-05-25,2023-11-17,1034879599,https://www.olx.pl/oferta/praca/prosta-praca-na-produkcji-transport-od-zaraz-k-m-CID4-IDXpHjU.html,"Prosta praca na produkcji - transport - od zaraz! ,Pracownik produkcyjny - Żłobnica (K/M),Prosta praca na produkcji - montaż elektroniki - o"
"HR Mondi","","","","",Buk,Wielkopolskie,Polska,"Produkcja ogólna",3,2026-05-25,2026-05-21,306084230,https://www.olx.pl/oferta/praca/pracownik-produkcji-w-stabilnej-firmie-rowniez-dla-osoby-bez-doswiadczenia-CID4-ID1aNJ7v.html,"Praca na produkcji w stabilnej firmie również dla ,Praca na produkcji również dla osoby bez doświadcz,Pracownik produkcji w stabilnej firmie, również dl"
"Vestas Careers","","","","",Police,Zachodniopomorskie,Polska,"Produkcja ogólna",3,2026-05-22,2026-04-14,1338365966,https://www.olx.pl/oferta/praca/praca-na-produkcji-lopaty-do-turbin-wiatrowych-darmowy-transport-pracowniczy-praca-od-zaraz-vestas-goleniow-CID4-ID1arkxQ.html,"Operator/ka Produkcji | Darmowy transport pracowni,Operator/ka Produkcji - Szczecin (75173),Praca na produkcji – łopaty do turbin wiatrowych |"
"S&A Sp. z o.o.","","","","","Kraków","Małopolskie",Polska,"Kontrola jakości",3,2026-05-22,2026-05-21,1597896413,https://www.olx.pl/oferta/praca/pracownik-produkcji-m-k-CID4-ID1aLPfI.html,"Operator suwnicy (m/k),Kontroler jakości (m/k),Pracownik Produkcji (m/k)"
"Corning Optical Communications","","","","","Stryków","Łódzkie",Polska,"Produkcja ogólna",3,2026-05-22,2021-12-09,15987855,https://www.olx.pl/oferta/praca/team-liderka-lider-produkcji-CID4-ID1aLwlM.html,"Corning - Młodsza Operatorka/Młodszy Operator Masz,Team Liderka/Lider Produkcji,Group Liderka/Lider produkcji"
"K-SPORT POLSKA","","","","","Rzepiennik Biskupi","Małopolskie",Polska,"Produkcja ogólna",3,2026-05-22,2026-04-29,18655467,https://www.olx.pl/oferta/praca/pracownik-produkcji-praca-dla-mezczyzny-w-rzepiennik-biskupi-CID4-ID1aqrGe.html,"Pracownik produkcji Praca  dla kobiet w Rzepiennik,Konstruktor sprzętu fitness (poziom podstawowy) Tu,Pracownik produkcji Praca  dla mężczyzny  w Rzepie"
"ASISTWORK Sp. z o.o.","","","","","Łęczyca","Łódzkie",Polska,"Produkcja ogólna",3,2026-05-22,2026-05-18,32235573,https://www.olx.pl/oferta/praca/pracownik-produkcji-k-m-umowa-o-prace-od-zaraz-ii-zmiany-CID4-ID1aHz8V.html,"Pracownik produkcji (K/M) | Nowy zakład | Od zaraz,Pracownik ds. wsparcia produkcji (k/m)- 3 zmiany p,Pracownik Produkcji (K/M), umowa o pracę, od zaraz"
"Skiold BL Sp z o.o.","","","","",Kutno,"Łódzkie",Polska,"Przemysł metalowy / obróbka",3,2026-05-22,2025-12-08,472890219,https://www.olx.pl/oferta/praca/specjalista-ds-planowania-produkcji-k-m-CID4-ID1aLwF7.html,"Specjalista ds. Planowania produkcji (K/M),Pracownik produkcji - ślusarz,Spawacz - MAG (metoda 135)"
"DES Sofa Line Sp. z o.o.","","","","",Ozimek,Opolskie,Polska,"Przemysł metalowy / obróbka",3,2026-05-22,2026-05-22,626737161,https://www.olx.pl/oferta/praca/operator-cnc-pracownik-linii-produkcyjnej-k-m-des-sofa-line-sp-z-o-o-CID4-ID1aLMs4.html,"Operator CNC/pracownik linii produkcyjnej (K/M) DE"
Confirme,"","","","","Toruń",Kujawsko-pomorskie,Polska,"Produkcja ogólna",3,2026-05-22,2026-03-31,69449212,https://www.olx.pl/oferta/praca/specjalista-d-s-projektowego-przygotowania-produkcji-CID4-ID1aLN7B.html,"Specjalista d/s projektowego przygotowania produkc,Operator suwnicy"
CORTENA,"","","","",Bydgoszcz,Pomorskie,Polska,"Przemysł metalowy / obróbka",3,2026-05-22,2026-05-22,754947857,https://www.olx.pl/oferta/praca/technolog-asystent-CID4-ID1aLWYI.html,"Poszukuję do pracy ślusarza do firmy DECORTI/CORTE,Technolog / asystent,Poszukuję do pracy spawacza do firmy DECORTI/CORTE"
"PROEXWORK SP. Z O. O.","","","","","Białystok",Podlaskie,Polska,"Przemysł metalowy / obróbka",3,2026-05-21,2026-05-15,2123621839,https://www.olx.pl/oferta/praca/szwaczka-szwacz-produkcja-mebli-tepicerowanych-CID4-ID1aIssj.html,"Spawacz metodą MIG-MAG,Pracownik produkcji - proste, lekkie prace manualn,Szwaczka/Szwacz (produkcja mebli tepicerowanych)"
BenettPEOPLE,"","","","","Ciechanów",Mazowieckie,Polska,"Pakowanie / FMCG",3,2026-05-21,2026-05-13,24030023,https://www.olx.pl/oferta/praca/pracownik-produkcji-k-m-suplementy-diety-CID4-ID1aDqih.html,"Pracownik produkcji ( k / m) - suplementy diety,Pracownik produkcji,Praca sezonowa- Pakowacz/ka"
"Jarosław","","","","",Niedalino,Zachodniopomorskie,Polska,"Produkcja ogólna",3,2026-05-21,2025-11-05,266635563,https://www.olx.pl/oferta/praca/pracownik-pracownica-produkcji-okien-operator-maszyn-produkcyjnych-CID4-ID1aLa1x.html,"pracownik/pracownica produkcji okien / montaż okie,pracownik/pracownica produkcji okien - operator ma,lakiernik/ lakierniczka"
"swisspor Polska sp. z o.o.","","","","",Topole,Pomorskie,Polska,Magazyn,3,2026-05-21,2026-04-23,296053659,https://www.olx.pl/oferta/praca/pracownik-linii-produkcyjnej-k-m-CID4-ID1aldVx.html,"Magazynier (k/m),Pracownik linii produkcyjnej (k/m)"
"Model-Art sp. z o.o.","","","","","Ostróda","Warmińsko-mazurskie",Polska,"Przemysł metalowy / obróbka",3,2026-05-21,2025-02-25,329340206,https://www.olx.pl/oferta/praca/specjalista-ds-administracji-magazynowej-k-m-CID4-ID1aKxo2.html,"Formierz Tworzyw Sztucznych K/M,Specjalista ds. administracji magazynowej (K/M),Operator maszyn CNC na stolarni K/M"
"Łukasz","","","","","Stare Babice",Mazowieckie,Polska,"Przemysł metalowy / obróbka",3,2026-05-21,2019-09-25,38275293,https://www.olx.pl/oferta/praca/technolog-konstruktor-mebli-topsolid-intar-sp-zo-o-we-wroclawiu-m-k-CID4-ID1aea6e.html,"Operator maszyn cnc/piła/okleiniarka Intar sp.zo.o,Lakiernik Intar sp.zo.o. w Warszawie (M/K),Technolog/Konstruktor mebli – TopSolid Intar Sp.zo"
"CHEMET SA","","","","","Tarnowskie Góry","Śląskie",Polska,"Produkcja ogólna",3,2026-05-21,2026-05-20,68339014,https://www.olx.pl/oferta/praca/slusarz-remontowy-mechanik-maszyn-i-urzadzen-prace-slusarsko-remontowe-m-k-tarnowskie-gory-CID4-ID1aKAFc.html,"Ślusarz remontowy/ mechanik maszyn i urządzeń/ pra,Operator produkcji (M/K) - Francja,Monter/ Ślusarz/ prace ślusarskie (K/M) - Tarnowsk"
"Karstensen Shipyard Poland Sp. z o.o.","","","","","Gdańsk",Pomorskie,Polska,Magazyn,3,2026-05-20,2026-05-20,2549444641,https://www.olx.pl/oferta/praca/pracownik-sortowni-surowcow-wtornych-CID4-ID1aJuI4.html,"Pracownik Sortowni Surowców Wtórnych,Magazynier– Operator Wózka Widłowego K/M,Magazynier – Magazyn Blach i Profili Stalowych K/M"
"Marseplast Sp. z o.o.","","","","","Niepołomice","Małopolskie",Polska,"Produkcja ogólna",3,2026-05-19,2021-01-27,231438019,https://www.olx.pl/oferta/praca/specjalista-ds-technologii-produkcji-m-k-CID4-ID170Xvg.html,"Specjalista ds. technologii produkcji (M/K),Operator  maszyn montażysta,Operator wózka widłowego"
"Edwood Sp z oo","","","","","Biała Podlaska",Lubelskie,Polska,"Produkcja ogólna",3,2026-05-18,2026-05-11,250523165,https://www.olx.pl/oferta/praca/pracownik-produkcji-nauczymy-cie-na-operatora-maszyn-m-k-CID4-ID1aA80a.html,"PRACOWNIK PRODUKCJI → nauczymy Cię na Operatora Ma,Dozorca – Pracownik Gospodarczy (M/K) Tartak,Operator Wózka Widłowego (M/K)"
"Pilkington IGP Sp. z o.o.","","","","",Sandomierz,"Świętokrzyskie",Polska,"Produkcja ogólna",3,2026-05-18,2026-04-13,34949187,https://www.olx.pl/oferta/praca/pracownik-produkcji-krajacz-szkla-szukamy-osoby-na-stale-CID4-ID1aHxyc.html,"Pracownik/ Pracowniczka działu spedycji (wózki wid,Pracownik/ Pracowniczka Produkcji,Pracownik Produkcji - Krajacz szkła  (szukamy osob"
KB,"","","","","Grodzisk Wielkopolski",Wielkopolskie,Polska,"Przemysł metalowy / obróbka",3,2026-05-15,2026-05-15,604369117,https://www.olx.pl/oferta/praca/zatrudnimy-monterow-nietrudne-prace-duzo-godzin-dobra-stawka-CID4-ID1aEJ95.html,"Zatrudnimy monterów- nietrudne prace, dużo godzin,,Zatrudnię spawaczy 135 MAG- Kielce, też początkują,Zatrudnię spawaczy 135 MAG-cienkie profile i blach"
"Invenio Sp. z o.o.","","","","",Tychy,"Śląskie",Polska,"Przemysł metalowy / obróbka",3,2026-05-14,2023-02-15,19249067,https://www.olx.pl/oferta/praca/sortowacz-m-k-praca-swiebodzin-od-zaraz-CID4-IDT9Cf2.html,"Sortowacz (M/K) - praca Świebodzin OD ZARAZ,Sortowacz (m/k) - praca od zaraz Legnica UMOWA ZLE,Operator CNC (m/k) - umowa o pracę"
"Dział Personalny","","","","",Warszawa,Mazowieckie,Polska,"Elektryka / Automatyka / UR",3,2026-05-14,2024-07-17,20978419,https://www.olx.pl/oferta/praca/specjalista-specjalistka-ds-laboratorium-CID4-ID19rDue.html,"Specjalista/Specjalistka ds. Laboratorium,Osobę do pracy w zawodzie elektryka w piekarni prz,Osoba do pracy na stanowisko EKSPEDYTOR/EKSPEDYTOR"
"Job Impulse Polska Sp. z o.o.","504 791 396","","","","Oława","Dolnośląskie",Polska,"Produkcja ogólna",3,2026-05-14,2026-05-04,31998353,https://www.olx.pl/oferta/praca/produkcja-we-wroclawiu-bonus-na-start-3000-zl-CID4-ID1aDulE.html,"Produkcja we Wrocławiu – Bonus na start 3000 zł,Praca na produkcji-  Wrocław- Welcome Bonus 3000 z,Młodszy/Młodsza Operator/ka linii produkcyjnej - b"
COMFORTY,"","","","","Ociąż",Wielkopolskie,Polska,"Produkcja ogólna",3,2026-05-14,2026-05-04,4052565,https://www.olx.pl/oferta/praca/specjalista-ka-ds-jakosci-CID4-ID1aDqbf.html,"Project manager (K/M/N),Specjalista(-ka) ds. jakości,Praca na produkcji"
"Weegree Sp. z o.o. S.K.","","","","",Opole,Opolskie,Polska,"Pakowanie / FMCG",3,2026-05-14,2026-03-20,540227675,https://www.olx.pl/oferta/praca/pracownik-produkcji-okien-nysa-bez-zmian-nocnych-CID4-ID19Sg37.html,"Praca w Opolu Pracownik produkcji / pakowacz czeko,Pracownik produkcji okien - Nysa, bez zmian nocnyc,Operator Maszyn - branża automotive, praca w Opolu"
"PORTA KMI POLAND","","","","",Nidzica,"Warmińsko-mazurskie",Polska,"Elektryka / Automatyka / UR",3,2026-05-11,2026-03-19,22645165,https://www.olx.pl/oferta/praca/praca-na-wakacje-pomocniczka-pomocnik-produkcji-CID4-ID1au125.html,"Operatorka / Operator Maszyn-zatrudnimy 20 osób,Praca na Wakacje - Pomocniczka/ Pomocnik Produkcji,Elektromechaniczka/Elektromechanik"
"Silgan White Cap Polska Sp. z o.o.","","","","","Niepołomice","Małopolskie",Polska,"Produkcja ogólna",3,2026-05-08,2026-05-08,350882291,https://www.olx.pl/oferta/praca/ustawiacz-linii-produkcyjnej-linii-lakierniczej-m-k-CID4-ID1ay0Mr.html,"Program Stażowy dla Studentów/Studentek Kierunków ,Operator Wózka Widłowego (m/k),Ustawiacz linii produkcyjnej / linii lakierniczej "
"dział kadr","","","","",Baniocha,Mazowieckie,Polska,"Elektryka / Automatyka / UR",3,2026-05-08,2025-06-09,42576651,https://www.olx.pl/oferta/praca/pracownik-produkcji-pomocnik-operatora-maszyn-dolacz-do-nas-mondi-solec-sp-z-o-o-CID4-ID16adAg.html,"Młodszy Laborant / Młodsza Laborantka w dziale Kon,Pracownik produkcji - pomocnik operatora maszyn. D,Elektromechanik Utrzymania Ruchu (K/M)"
"Zakład Mleczarski Winnica Sp. z o.o.","","","","",Winnica,Mazowieckie,Polska,"Produkcja ogólna",3,2026-05-08,2021-10-26,435963916,https://www.olx.pl/oferta/praca/pracownik-produkcji-CID4-ID1axPKg.html,"Operator Wózka Widłowego,Pracownik Produkcji,Operator/ka produkcji"
